   framework QPS, LOAD, MEM(KB), TIME(ms); functions, include files
    symfony2      423,48.07,3885.21, 21.22;     423,67.65,3885.21, 26.71;     424,55.88,3885.21, 22.69;     423,57.20,3885.21, 23.54;   2524,   89
          zf      675, 7.16,2576.83, 17.94;     674, 3.13,2576.83, 19.37;     671, 2.60,2576.83, 23.14;     673, 4.30,2576.83, 20.15;   1789,   61
         zf2      322,80.88,4011.38, 31.55;     323,78.99,4011.38, 30.59;     323,80.18,4011.38, 33.08;     323,80.02,4011.38, 31.74;   5620,  124
     cakephp      874, 2.30,2824.51, 16.16;     874, 2.60,2824.51, 16.34;     871, 7.68,2824.51, 16.24;     873, 4.19,2824.51, 16.25;    834,   37
          ci     2322, 0.50, 752.64,  7.26;    2333, 0.57, 752.64,  7.35;    2305, 3.10, 752.64,  7.27;    2320, 1.39, 752.64,  7.29;    491,   22
         yii     2345, 1.63,1180.28,  6.72;    2342, 1.63,1180.28,  6.67;    2302, 1.72,1180.28,  6.67;    2330, 1.66,1180.28,  6.69;    269,   19
        slim     2307, 2.11, 699.78,  7.29;    2313, 1.95, 699.78,  7.24;    2265, 1.95, 699.78,  7.26;    2295, 2.00, 699.78,  7.26;    521,   14
     laravel     3055, 0.98, 518.69,  4.61;    3076, 0.90, 518.69,  4.43;    3095, 0.54, 518.69,  4.49;    3075, 0.81, 518.69,  4.51;    238,   26
   micromvc4     6301, 0.35, 176.74,  2.22;    6344, 0.42, 176.74,  2.26;    6264, 0.09, 176.74,  2.23;    6303, 0.29, 176.74,  2.24;    123,   12
         yaf     7231, 0.03,  67.95,  1.27;    7216, 0.04,  67.95,  1.26;    7367, 0.34,  67.95,  1.24;    7271, 0.14,  67.95,  1.26;     18,    4
